ID,Question,A,B,C,D,E,Answer
4563,"Le manifestazioni artropatiche simmetriche si osservano in uno di questi
quadri morbosi:",,periartrite scapolo-omerale,artropatia uratica,reumatismi distrofici,artrite reumatoide,E
4564,"La frequenza respiratoria media nell'adulto sano ed a riposo e' compresa
tra :",,12 - 16 a.r./m.,15 - 30 a.r./m.,,,C
4565,"Un esoftalmo monolaterale e pulsante deve far sospettare innanzitutto una
di queste condizioni:",,neoformazione nell'orbita,insufficienza aortica,aneurisma della carotide interna,ipoplasia ventricolare sinistra,E
4566,Il virus della varicella e' un:,,enterovirus,arbovirus,arenavirus,herpesvirus,E
4567,Il P.S. urinario e' generalmente diminuito in una di queste condizioni:,,scompenso cardiocircolatorio,disidratazione,grave edema generalizzato,sclerosi renale,E
4568,"Il soffio bronchiale si ascolta in tutte queste condizioni ad esclusione di
una. Quale?",,trasudato pleurico,essudato pleurico,enfisema polmonare,pneumotorace,E
4569,"Nella cianosi centrale di origine circolatoria la saturazione di O2 del
sangue arterioso e':",,ridotta e' normale,inferiore alla norma e l' H,superiore alla norma e l' H,superiore alla norma e l' H,E
4570,"Una gastralgia, che si attenua cambiando posizione (es. da posizione
distesa a posizione seduta o da posizione seduta ad eretta) oppure
deambulando, si rileva in:",,ulcera duodenale,ernia dello hiatus,spasmo del cardias,acalasia del cardias,E
4571,Lo hiatus di Naegeli e':,,una comunicazione interventricolare,"assenza di cellule con grado di maturazione intermedio in corso di mielosi
acute",una palatoschisi,lo hiatus diaframmatico dell'ernia jatale,E
4572,"Nella sindrome adreno-genitale uno stato ipotensivo e' di rara
osservazione e dovuto a:",,diminuita sintesi di aldosterone,ipovolemia,tutte queste cause,nessuna di queste cause,E
4573,Quali di questi antigeni sono isoantigeni?,,O delle emazie,virus,,"i costituenti ""self""",D
4574,Nell'ittero epatocellulare la colesterolemia puo' essere:,,aumentata,diminuita,normale o aumentata,normale o diminuita,E
4575,"Rientramento degli spazi intercostali ad ogni sistole cardiaca con
epatomegalia, ascite, emorroidi, edema e varici addominali , si rileva nella
seguente condizione morbosa:",,cirrosi epatica,morbo di Pick,insufficienza tricuspidale,stenosi della tricuspide,E
4576,Da dove origina l' A. centrale della retina?,. frontale,dall',dall',dall',dall',E
4577,Nella glomerulite focale sono colpiti dal processo morboso:,,solo alcune anse glomerulari,solo le formazioni anatomiche del mesangio,solo la capsula glomerulare in alcune parti del foglietto parietale,solo i glomeruli corticali,E
4578,La pancreatite acuta e' caratterizzata da:,,iperglicemia,ipocalcemia,tutte queste manifestazioni,nessuna di esse,E
4579,"Quale di queste osteoplasie addensanti e iperostosi primitive non si
accompagna ad evidenti anomalie del modellamento dell'osso?",,iperostosi endostale,osteopetrosi precoce,disosteosclerosi,paget giovanile,E
4580,"La tosse secca domina il quadro delle forme conclamate di queste malattie
ad esclusione di una. Quale?",,s. di Hamman-Rich,fibrosi polmonare idiopatica,fibrosi polmonare fa farmaci,polmonite interstiziale desquamativa,E
4581,"La sindrome del carcinoide e' caratterizzata da tutti questi sintomi ad
esclusione di uno. Quale?",,crisi asmatiche,stitichezza,dolori addominali intermittenti di tipo spastico,volto pletorico con teleangectasie,E
4582,"Il sito di un cromosoma occupato da uno specifico gruppo di alleli si
chiama:",,genoma,centromero,cistrone,codone,E
4583,Il peso molecolare della Hb e':,,13.700,14.400,68.000,80.000,E
4584,Si definisce microalbuminuria un'escrezione di albumina:,,inferiore a 10 mg/die,maggiore di 40 mg/die,maggiore di 50 mg/die,inferiore a 20 mg/die,E
4585,"Cilindri cerei si rilevano con notevole frequenza nelle urine di soggetti
affetti da:",,glomerulonefrite membranosa,sclerosi glomerulare focale,nefropatia amiloide,nefropatia diabetica,E
4586,"La pigmentazione gialla e' rilevabile nella carotenemia in tutti i distretti
sottoelencati ad esclusione di uno. Quale:",,sclere,palmo delle mani,pianta dei piedi,superficie interna degli arti,E
4587,"Tutte queste cause possono provocare, ad esclusione di una, un'anemia
megaloblastica:",,celiachia,s. di Zollinger-,carenza di Fe,gastrectomia totale,E
4588,"Nell'insufficienza del lobo anteriore dell'ipofisi (m. di Simmonds) sono
rilevabili tutti questi sintomi ad eccezione di uno. Quale?",,melanodermia,ipotensione arteriosa,rarefazione dei peli,disidratazione relativa,E
4589,Quale di questi aminoacidi e' diaminomonocarbossilico,,lisina,asparagina,valina,leucina,E
4590,Nella porfiria acuta intermittente a carico degli eritrociti si rileva:,,"alterazioni a ""mela cotogna""",reperto normale,presenza di corpi inclusi di Heinz,sferocitosi,E
4591,"Il contenuto di glucosio nel liquor e' diminuito in una di queste
condizioni:",,encefalite,meningite tubercolare,neoplasie cerebrali,uremia cronica,E
4592,La sede dei cromosomi e':,,endocitoplasmatica,endomitocondriale,endolisosomiale,nell'apparato del Golgi,E
4593,"Quale di questi reperti indica una possibile transizione di una epatite acuta
in una epatite cronica?",,necrosi della lamina limitante,presenza di corpi acidofili sferoidali nei sinusoidi,degenerazione epatocitica a cellule ballonate,aumentata eosinofilia degli epatociti,E
4594,La terapia delle anemie sideropeniche e':,,12,il ferro,il ferro e la vitamina,"il ferro, l'acido folico e la vitamina",E
4595,"Nei pazienti affetti dalla sindrome del ""tenue contaminato"" segno
caratteristico, sebbene non patognomonico, e':",,la cilindruria con ematuria,la glicosuria,la bilirubinuria,la stipsi,E
4596,La capacita' vitale respiratoria e' data dal:,,massimo volume di aria volontariamente mobilizzabile,volume aereo residuo polmonare dopo espirazione forzata,pressione intrapolmonare rilevabile durante l'inspirazione,pressione parziale di O2 nel sangue arterioso,E
4597,Segno clinico di carenza di vitamina PP e' la:,,cheilosi,osteomalacia,ipercheratosi follicolare,pellagra,E
4598,Normalmente la prostata umana ha un peso di,,20-25 g,50-70 g,100-200 g,200-250 g,E
4599,Un edema ipodisprotidemico compare quando vi e':,,ipoglobulinemia,ipogammaglobulinemia,iperglobulia,ipofibrinogenemia,E
4600,"Anoressia si osserva in tutte queste condizioni ad esclusione di una.
Quale?",,neoplasie gastriche,anemia perniciosa,ipertiroidismo,insufficienza epatica,E
4601,"Sfregamenti peritoneali si rilevano in sede ipocondriaca sinistra in
corrispondenza della X-XI costa sull'ascellare anteriore in una di queste
condizioni:",,pleurite essudativa sinistra,pericardite fibrinosa,infarto splenico,,D
4602,L'aspirina blocca:,,5-Lipoossigenasi,12-Lipoossigenasi,Mieloperossidasi,ossido nitrico sintetasi,E
4603,Aumento della densita' ossea si rileva:,e,,nelle malattie indicate in,nella osteoporosi,in nessuna di queste malattie,E
4604,La pressione sistolica del ventricolo destro e' normalmente in media di :,,25 mmHg,35 mmHg,45 mmHg,55 mmHg,E
4605,Ad una pressione atmosferica di 526 mm Hg l'acqua bolle a:,,100 gradi,110 gradi,120 gradi,130 gradi,E
4606,Quale di questi tumori delle ghiandole salivari e' il piu' frequente?,,carcinoma indifferenziato,adenocarcinoma a cellule acinari,cilindroma,cistoadenoma papillifero,E
4607,Un bicchiere di 100 g di vino comune contiene mediamente,,"5,2 g di alcool","9,0 g di alcool","18,6 g di alcool","36,2 g di alcool",E
4608,La paroressia indica:,,discontinuita' del senso dell'appetito,deviazione del senso dell'appetito,flogosi cronica del cavo orale,flogosi papillare della lingua,E
4609,"Iperamilasemia con dolore, febbre, leucocitosi, VES aumentata e segni
clinici addominali di pancreopatia, si rileva in corso di:",,cirrosi epatica,gastro-duodenite,ulcera duodenale,oddite,E
4610,L'opsonizzazione e' un meccanismo che facilita la:,,la translazione cellulare,divisione mitotica dei leucociti,lisi batterica intraleucocitaria,ingestione di germi da parte dei neutrofili,E
4611,Il citomegalovirus provoca una infezione che:,,non e' mai persistente,e' solo neonatale,e' piu' frequente nell'uomo che nella donna,e' endemica ubiquitaria,E
4612,"Nel Morbo di Wilson (degenerazione epatolenticolare) c'e' un disturbo del
metabolismo:",,del rame,del magnesio,del calcio,dell'emoglobina,E
4613,"Nella atelettasia da ostruzione bronchiale (es. neoplasia broncogena) il
fremito vocale tattile e':",,abolito,ridotto,notevolmente ridotto,rinforzato,E
4614,"La sindrone di Tietze e' una tumefazione dolorosa delle articolazioni
condro-costali I e II costola e talvolta III e IV costola, che si rileva
abitualmente in corso di:",,dermatomiosite,cirrosi epatica,malattie polmonari croniche,nefropatie croniche,E
4615,Il dolore pieloureterale e' riferito ai metameri:,,T8 T9 T10,T10 T11 T12,T10 T11 T12 L1,T10 T11 T12 L1 L2 L3 L4 L5,E
4616,Iperfibrinogenemia puo' rilevarsi in una di queste condizioni:,,tubercolosi splenica cachettizzante,sindrome emolitico-uremica,epatopatie acute gravi,sindrome nefrosica,E
4617,"Sclere azzurre sottili e trasparenti si osservano in una di queste condizioni
morbose:",,cirrosi epatica,osteopsatirosi di Lobstein,insufficienza cardiocircolatoria,acondroplasia,E
4618,L'azoto ureico del plasma e' diminuito nella seguente condizione:,,polmonite,insufficienza cortico-surrenalica,insufficienza epatica,shock,E
4619,"L'anello di Kayser-Fleischer (anello bruno alla periferia della cornea)
accompagnato da sintomatologia neurologica di tipo extrapiramidale si
rileva nella seguente condizione:",,cirrosi di Wilson,delirium tremens,s. di Korsakoff,s. di Reiter,E
4620,La melena e' generalmente segno di:,,emorragia del grosso intestino,pancreatite acuta,,,C
4621,"La comparsa di una onda U nell'ecg si rileva abitualmente in uno di questi
disordini elettrolitici:",,iperpotassiemia,ipopotassiemia,ipernatremia,iponatremia,E
4622,Il capside e' un costituente:,,delle brucelle,dei virus,dei vibrioni,dei micobatteri,E
4623,I drepanociti sono caratteristici della:,,elittocitosi,emoglobinosi S,stomacitosi,mielofibrosi,E
4624,Quali di questi farmaci ha azione fibrinolitica elettiva?,,cumopirano,streptochinasi,fenindione,eparina,E
4625,Nella sferocitosi ereditaria e' tipico il riscontro di:,,piastrinopenia,reticolocitopenia,amiloidosi,paraproteinemia Ig G,E
4626,"La ricerca di laboratorio piu' attendibile per la diagnosi di feocromocitoma
e'",,la determinazione della istaminemia,la determinazione urinaria delle catecolamine,"la determinazione delle catecolamine plasmatiche prelevate con catetere
in cava inferiore",le ultime due,E
4627,Ipertensione arteriosa parossistica si rileva spesso in corso di:,,ipertensione nefrovascolare,onn,feocromocitoma,m. di,E
4628,"Nelle coagulopatie da consumo ( CID = coagulazione intravascolare
disseminata) si rilevano questi dati ad esclusione di uno che e' errato.
Quale?",,fibrinogeno normale,tempo di emorragia prolungato,retrazione del coagulo prolungata,consumo di protrombina patologico,E
4629,"L'esame radiologico del torace nella sindrome ostruttiva polmonare
cronica di tipo bronchitico (blue bloater) mostra abitualmente:",fenilchetonuria,alcaptonuria,sindrome di Hartnup,tirosinosi,istidinemia,E
4631,La noradrenalina esplica un'attivita' biologica caratterizzata da:,,aumento della gittata cardiaca,diminuzione delle resistenze vascolari periferiche,aumento della pressione diastolica,diminuzione della pressione sistolica,E
4632,"Un'aumentata escrezione renale di acido urico talvolta si osserva in una di
queste condizioni morbose:",,m. di Froehlich,a,dopo infusione di,dopo dieta ricca in lipidi,E
4633,La paralisi familiare periodica e' spesso accompagnata da:,,iperkaliemia,ipokaliemia,ipercalcemia,ipocalcemia,E
4634,Tosse rauca si osserva nella:,,laringite,paralisi del nervo ricorrente,lesione distruttiva delle corde vocali,bronchite catarrale acuta,E
4635,"Sono definite come tiroiditi queste affezioni morbose ad esclusione di
una. Quale?",,struma ligneo di Riedel,struma a cellule giganti di,struma linfomatoso di Hashimoto,struma suppurativo,E
4636,La sindrome da carcinoide e' dovuta alla immissione in circolo di:,,istamina,serotonina,glucagone,insulina,E
4637,Lo shock da ustione e' dovuto a:,,insufficienza cardiaca,infezione,ipovolemia,insufficienza renale,E
4638,Il volvolo del colon e' relativamente piu' frequente:,,nel colon trasverso,nel sigma,in tutti questi,in nessuno di questi,E
4639,Nell'ileo da meconio la sede dell'ostruzione e',,a livello delle prime anse digiunali,,,,B
4640,"Il riscontro di anacidita' nel succo gastrico di un gastropatico deve far
sospettare una:",,ulcera duodenale,colecistopatia,neoplasia gastrica,pancreopatia cronica,E
4641,Il contenuto di grasso nel burro di latte di vacca e' in media di:,,g 53 %,g 61 %,g 83 %,g 95 %,E
4642,Il mannitolo e' controindicato in caso di:,,insufficienza renale,versamenti in cavita' sierose (es.pleurite ascite essudativa),oliguria post-operatoria,shock,E
4643,"Nello shock da diminuzione del volume circolante si hanno tutti questi
fenomeni ad esclusione di uno:",,iperaldosteronismo,ritenzione di sodio,H,diminuita increzione di,E
4644,Nella insufficienza renale acuta si rileva:,,ipermagnesiemia,iperfosfatemia,ipersolfatemia,presenza di tutti questi reperti,E
4645,"Quale di questi e' un colorante acido comunemente impiegato in
citologia?",,eosina,blu di metilene,blu di toluidina,tionina,E
4646,La proteina di Bence-Jones si rileva in una delle seguenti nefropatie:,,necrosi tubulare acuta,amiloidosi renale,sindrome nefrosica da mieloma,sindrome di Goodpasture,E
4647,La malattia di Willebrand e' una forma:,,trombotica,emorragica da deficit coagulatico,emorragica da Piastrinopatia,emorragica da deficit coagulativo-piastrinico,E
4648,Quale di questi muscoli scheletrici innalza il braccio:,morbo di Parkinson,polineuriti,strabismo,miastenia,aprassia,E
4650,Quali sono le conseguenze dell'infezione da HIV-1?,,diminuzione del numero dei linfociti,splenomegalia persistente generalizzata,aumento risposta cutanea alla tubercolina,attivazione spontanea delle cellule NK,E
4651,Dove sboccano le vene polmonari?,,nel ventricolo destro,nel seno coronario,nel ventricolo sinistro,nessuna delle citate,E
4652,Nei linfonodi sede elettiva di localizzazione dei linfociti B sono:,,i centri chiari dei follicoli,le strutture paracorticali,le strutture linfoidi periarteriolari della milza,tutte queste strutture,E
4653,"Sincope da arresto cardiaco o da inadeguata gittata si rileva nella seguente
condizione:",dams-Stokes,vasodepressione da stimolo seno-carotideo,ridotta pressione di perfusione cerebrale da tosse,crisi di Morgagni-,ipoglicemia,E
4654,Artropatia non infiammatoria e' la:,,artrite psoriasica,osteocondrite dissecante,spondilite anchilosante,artrite reumatoide,E
4655,La febbre suppurativa e':,,remittente,notturna,periodica,ondulante,E
4656,"Sono frequentemente complicate da anemia emolitica autoimmune tutte le
seguenti condizioni meno una. Quale?",,morbo di Hodgkin,infezioni virali,anemia sideropenica,somministrazione di alfa-metildopa,E
4657,La Pvc si misura:,,nella vena femorale,nella vena safena,nella vena azigos,nell'atrio di destra,E
4658,Il pepsinogeno ematico e' diminuito in una di queste condizioni:,,anemia perniciosa,iperfunzione corticosurrenalica,,,C
4659,"Lo streptococco beta-emolitico che piu' frequentemente e' causa di
glomerulonefrite acuta e' il:",,tipo 49,tipo 3,tipo 1,tipo 4,E
4660,La filtrazione glomerulare e' condizionata da uno di questi fattori:,,concentrazione dei soluti nel plasma,funzionalita' tubulare,escrezione tubulare di creatinina,pH plasmatico,E
4661,L'acido nicotinico svolge azione,,antidiarroica,vasodilatatrice periferica,antianemica,antiemorragica,E
4662,Il flusso plasmatico renale e' normalmente di:,,"600-700 ml/m'/m quadri 1,73","1000-1500 ml/m'/m quadrati 1,73","1500-1700 ml/m'/m quadrati 1,73","1700-2000 ml/m'/m quadrati 1,73",E
4663,"Nella sindrome di Peutz-Jeghers la melanosi delle labbra e delle mucose si
accompagna a:",,colite ulcerosa,epatite cronica,poliposi del piccolo intestino,ileocolite granulomatosa,E
4664,Generalmente le arterie rette spurie del rene hanno origine,,dall'arteriola efferente,dall'arteria arcuata,dall'arteria lobulare,dalla rete arteriosa sottocapsulare,E
4665,"L'ictus apoplettico con emiplegia e rotazione degli occhi e del capo verso
la lesione e' dovuto a:",,emorragia lobare,emoraggia cerebellare,emorragia bulbare,emorragia pontina,E
4666,Nel flebogramma l'onda positiva v esprime:,,contrazione ventricolare destra,riempimento dell'atrio destro,fase di collasso venoso,svuotamento dell'atrio destro,E
4667,Aumento della pCO2 si rileva nella:,,alcalosi respiratoria scompensata,acidosi metabolica compensata,acidosi respiratoria compensata,alcalosi metabolica scompensata,E
4668,L'ipertensina II e' un:,,decapeptide,octapeptide,eptapeptide,esapeptide,E
4669,Il mycoplasma pnemoniae puo' provocare una:,,anemia emolitica,pneumoconiosi,pleurite essudativa,poliglobulia,E
4670,"Nella formula leucocitaria la percentuale dei basofili nel sangue di un
individuo normale è:",,5-10%,5-15%,0-20%,0-30%,E
4671,"Dolore toracico improvviso, con polipnea ed emottisi modesta, si osserva
in una di queste condizioni:",,pericardite essudativa,pachipleurite,infarto polmonare,infarto miocardico,E
4672,Anemia emolitica a genesi non ereditaria e':,,anemia sferocitica,anemia ellissocitica,anemia stomatocitica,talassemia,E
4673,"La linea di Ellis-Damoiseau parabolica a convessita' superiore, che sale e
si incurva verso l'ascella omolaterale, si rileva in una di queste condizioni:",,idropneumotorace,pneumotorace,pericardite,pleuro-pericardite adesiva,E
4674,La pressione media dell'atrio di sinistra e' normalmente di:,,"2,0-12,0 mm Hg",15-20 mm Hg,20-25 mm Hg,25-30 mm Hg,E
4675,Il doppio tono di Traube sulla femorale si ascolta nella:,,insufficienza mitralica,stenosi aortica,insufficienza aortica,stenosi polmonare,E
4676,L'ormone paratiroideo favorisce uno di questi fenomeni:,,aumento riassorbimento tubulare del P,a,fissazione a livello osseo del,ipocalcemia,E
4677,"Sono pirogeni, eccetto uno:",,TNF alfa,IL-6,,,C
4678,"Nel complesso di Eisenmenger si rilevano tutte queste anomalie ad
eccezione di una. Quale?",,difetto alto del setto interventricolare,stenosi della polmonare,ipertrofia ventricolare destra,arco della polmonare prominente,E
4679,"Nelle sindromi di malassorbimento il volume plasmatico circolante e'
diminuito. Questa diminuzione si accompagna a:",,diuresi osmotica,iperbicarbonatemia,diminuzione delle proteine urinarie,ipokaliemia e ipocalcemia,E
4680,"Tutte queste affezioni possono provocare emoglobinuria ad esclusione di
una. Quale?",,favismo,m. di Moschowitz,pielonefrite acuta,accidenti trasfusionali,E
4681,"La glomerulonefrite acuta post-streptococcica puo' essere preceduta dai
seguenti eventi morbosi ad esclusione di uno. Quale?",,rosolia,scarlattina,piodermite,erisipela,E
4682,"L'aborto genetico si determina a seguito di un'alterazione cromosomica.
Quale di queste alterazioni lo provoca?",,trisomia,triploidia,tetraploidia,tutte queste condizioni,E
4683,Il soffio di Graham-Steel e' un soffio:,-V,sistolico polmonare,diastolico da stenosi mitralica,sistolico da stenosi aortica,mesodiastolico da iperafflusso,E
4684,Con il termine tachipnea si intende:,,"aumento della "" rumorosita' "" del respiro",aumento della profondita' degli atti respiro,sibili inspiratori,sensazione soggettiva di respiro difficoltoso,E
4685,La pressione liquorale iniziale e' elevata nella:,,lue meningo-vascolare,poliomielite anteriore acuta,emorragia subaracnoidea,sclerosi multipla,E
4686,Ipocalcemia si rileva in una di queste condizioni :,ipertrofia ventricolare sinistra,dilatazione e ipertrofia ventricolare sinistra,ipertrofia atrio sinistro,ipertrofia ventricolo destro,aderenza pleuro-pericardica,E
4688,La dispnea e':,,un sintomo e un segno,una ridotta ed insufficiente ventilazione polmonare,un compenso ad una ridotta ventilazione alveolare,una risposta dell'organismo all'ipossiemia,E
4689,"Le semilunari della valvola polmonare si distinguono per la loro posizione
in:",,"posteriore, destra e sinistra","superiore, destra e sinistra","anteriore, superiore ed inferiore","anteriore, destra e sinistra",E
4690,L'epatopatia sempre caratterizzata da aumento delle gammaglobuline e' la:,,colestasi da ostruzione biliare intraepatica,colestasi da ostruzione biliare extraepatica,epatite tossica,epatite cronica aggressiva,E
4691,"Aumento del tasso plasmatico di transaminasi, latticodeidrogenasi e
creatin-fosfochinasi si osserva costantemente in una di queste condizioni:",,sindrome da schiacciamento,emoglobinuria parossistica,porfirinuria acuta,alcaptonuria,E
4692,La creatininemia del siero e' normalmente di:,,"0,5-0,7 mg %","1,0-1,5 mg %","2,0-2,5 mg %","3,0-3,5 mg %",E
4693,"La composizione percentuale dei chilomicroni e' caratterizzata da un
elevato contenuto (circa l'80%) di:",,colesterolo,fosfolipidi,proteine,azoto proteico,E
4694,L'immunità naturale è costituita da una serie di meccanismi di difesa:,,dipendenti da mediatori umorali e cellulari,che vengono esaltati da un secondo contatto con lo stesso antigene,che conferiscono memoria immunologica,che hanno le caratteristiche dei punti 1 e 2,E
4695,Il coagulo è formato principalmente da:,,laminina,collagene di tipo I,fibrina e fibronectina,eparina,E
4696,"Le lipoproteine a bassa densita' hanno un elevato contenuto (pari al 47%)
di uno dei seguenti componenti. Quale?",,,,,,
4697,"L'edema della mucosa nell'asma allergico (dovuto ad aumento della
permeabilita' capillare) e' provocato da:",,PG,SRS-,penilefina RPM,tutte queste sostanze,E
4698,L'emoftoe e' emissione di sangue che origina:,,dalla bocca,dal naso,dal faringe,albero respiratorio,E
4699,Sia l'oliguria che la poliuria sono rigorosamente connesse a:,,aumento del filtrato glomerulare,diminuzione del riassorbimento tubulare idrico,aumento del riassorbimento tubulare idrico,"interrelazioni che sussistono fra filtrato glomerulare e riassorbimento
tubulare idrico",E
4700,"Nel blocco atrio-ventricolare totale si osservano clinicamente tutte queste
condizioni ad esclusione di una. Quale?",,"primo tono alla punta vibrato, talvolta ""colpo di cannone""",dissociazione fra polso arterioso e polso giugulare,"frequenza del polso influenzata dalla stimolazione vagale
(es.compressione bulbi oculari)",frequenza del polso insensibile alla stimolazione vagale,E
4701,La piuria acida e' caratteristica:,,della calcolosi renale,della ipertrofia prostatica,della cistite acuta,di una neoplasia renale,E
4702,L'atropina:,,riduce la pressione endoculare,fa rilasciare la muscolatura liscia bronchiale,provoca miosi,stimola la secrezione gastrica,E
4703,La sindrome del QT lungo si rileva per:,e,,ablazione del ganglio stellato di destra,tutte queste cause,le condizioni previste in,E
4704,Quali muscoli sono innervati dal nervo faciale?,,i muscoli mimici e del velo pendulo,i muscoli mimici,i muscoli genioglosso e stiloglosso,i muscoli genioglosso e ioglosso,E
4705,La crepitatio indux e redux polmonare si osserva nel decorso della:,,bronchite asmatica,fibrosi polmonare,pleurite essudativa,pleurite secca,D
4706,Quale dei seguenti sintomi manca nei tumori del colon?,,modificazioni dell'alvo,presenza di sangue nelle feci,anemia progressiva,acolia delle feci,E
4707,Quale di queste tossinfezioni puo' provocare una tubulonefrosi?,,infezione da,leptospirosi ittero-emorragica,m. da cytomegalovirus,tutte queste tossinfezioni,E
4708,Gli aneurismi congeniti piu' frequenti sono a carico:,,dei vasi endocranici,dei vasi degli arti superiori,delle vene polmonari,delle arterie iliache,E
4709,"Possibili cause di anemia nella leucemia linfatica cronica sono tutte le
seguenti meno una. Quale?",,12,autoimmunizzazione,invasione midollare,carenza di vitamina,E
4710,"In quale di queste affezioni morbose polmonare l'emottisi e' di piu' rara
osservazione?",,ipertensione polmonare primitiva severa,carcinoma metastatico polmonare,tromboembolia polmonare,diatesi emorragica,E
4711,"L'adenoma basofilo ipofisario si rileva nella seguente condizione
morbosa:",,gigantismo,ushing,m. di,s. di Frohlich,E
4712,Il sintomo guida dei tumori dell'apparato urogenitale e':,,pollachiuria,proteinuria,ematuria,disuria,E
4713,Nell'iperaldosteronismo primario e' caratteristico:,,una elevazione dei 17 chetosteroidi urinari,una ipercalcemia con ipofosforemia,una caduta del cortisolo plasmatico,una ipernatriemia con ipokaliemia,E
4714,"Quale di questi reperti cutanei non si osserva nella insufficienza cronica
surrenalica primitiva?",,melanodermia,vitiligo,ipertricosi ascellare e pubica nella donna,linea alba addominale scura,E
4715,La scrofola e' dovuta a:,,,,,,
4716,L'osmolalita' dell'urina e' determinata:,,dalla quantita' dei soluti presenti nell'urina,dal numero di molecole presenti nell'urina,dal peso e dalla quantita' dei soluti presenti nell'urina,dal peso e dal numero di molecole presenti nell'urina,E
4717,"La glomerulonefrite subacuta o rapidamente progressiva e', sotto il profilo
istopatologico, una glomerulonefrite:",,proliferativa endocapillare,proliferativa mesangiale,proliferativa endo-extracapillare,proliferativa mesangiocapillare,E
4718,Il contenuto di Na nel latte vaccino magro e' mediamente di:,,70 mg %,100 mg %,120 mg %,140 mg %,E
4719,"Il reperto acustico di ronchi, fischi, sibili, si rileva in una di queste
condizioni:",,asma bronchiale,polmonite,edema polmonare,broncopolmonite,E
4720,"Il segno di Kussmaul, dilatazione inspiratoria delle vene del collo, si
rileva per:",,tamponamento cardiaco,insufficienza ventricolare destra grave,cardiopatia restrittiva,tutte queste condizioni,E
4721,"In presenza di una spiccata eosinofilia si dovranno prendere in
considerazione tutte queste forme morbose al esclusione di una. Quale?",,sindrome da latte ed alcali,remer,elmintiasi,reticulosi di Giffin-,E
4722,Il morbo di Paget e' una:,,osteite deformante,osteomalacia,osteopsatirosi idiopatica,osteite fibrocistica,E
4723,"Aritmia da alterata conduzione dell'impulso cardiaco a livello atriale si
rileva in una di queste condizioni:",,blocco di branca destra,segnapassi errante,dissociazione atriale o blocco interatriale,arresto attivita' del nodo del seno,E
4724,"La fase prodromica della epatite acuta B e' occasionalmente caratterizzata
da:",,malattia da siero,crisi epilettiche sporadiche,tutte queste possibili sindromi,nessuna di queste sindromi,E
4725,L'espettorato di pazienti affetti da bronchiectasie e' di tipo:,,mucoso,"schiumoso, mucoso, purulento","schiumoso, mucoso",purulento,E
4726,La sindrome di Ebstein e' una:,,comunicazione interventricolare,stenosi dell'arco aortico,dislocazione in basso della mitrale,dislocazione in basso della tricuspide,E
4727,La cromatina e' contenuta:,,nel nucleo,nel lisosoma,nel ribosoma,nell'apparato del Golgi,E
4728,Ipercheratosi follicolare si rileva in seguito a carenza di vitamina:,,1,,,,E
4729,La papaverina ha azione,,spasmolitica,centrale analgesica,centrale narcotica,analettica,E
4730,Nel coma meningitico si puo' rilevare con notevole frequenza:,,mioglobinuria,iperammoniemia,iponatremia,iperlipemia,E
4731,Il 25 % dei lipidi della membrana eritrocitaria e' costituita da:,,colesterolo,sfingomieline,fosfatidilserina,fosfatidilinositolo,E
4732,"Per la valutazione delle IgE specifiche per i singoli allergeni quale
metodica viene usata:",ST,RIST,R,Immunofluorescenza,immunodiffusione,E
4733,Il reperto di un pH elevato e di una pCO2 normale e' indicativo di una:,,alcalosi respiratoria,acidosi metabolica,acidosi respiratoria,acidosi metabolica compensatoria,E
4734,Afasia motoria o di espressione e':,,,,,,
4735,"Nella milk alkali syndrome da assunzione di notevole quantita' di latte o
di antiacidi a scopo terapeutico (ulcera gastrica, duodenale, ecc.) il
bicarbonato serico e':",,diminuito,aumentato,normale oppure diminuito,diminuito in rapporto all'iperpotassiemia,E
4736,"La melena presuppone un versamento di sangue nel lume enterico di
almeno:",,20 ml,30 ml,50 ml,100 ml,E
4737,Edema da aumentata pressione idrostatica si rileva nella:,,sindrome nefrosica,sprue idiopatica,m. di Whipple,insufficienza cronica congestizia di circolo,E
4738,"L'elettroforesi dell'emoglobina nella talassemia maior mostra prevalenza
della emoglobina:",2,Hb S,Hb F,Hb,Hb H,E
4739,Litiasi da acido urico e' di frequente rilievo in una di queste condizioni:,,tubercolosi polmonare,nefropatia diabetica,malattie mieloproliferative,glomerulonefrite acuta diffusa,E
4740,"I linfociti T ""helper"" (cioe' adiuvanti):",,sono capaci di produrre direttamente anticorpi,reagiscono generalmente con i determinanti proteici,reagiscono generalmente con i determinanti aptenici,presentano tutte queste caratteristiche,E
4741,Nel 75 % dei casi di mixedema dell'adulto si osserva:,,colesterolemia aumentata,colesterolemia diminuita,urea plasmatica aumentata,urea plasmatica diminuita,E
4742,La sindrome di Morgagni-Adams-Stokes e' caratterizzata da:,,presenza di aura premonitrice,inizio improvviso,tutti questi sintomi,nessuno di questi sintomi,E
4743,"Deposizione di immunocomplessi si rileva, a livello della membrana
basale glomerulare, in tutte queste condizioni ad esclusione di una. Quale?",,glomerulonefrite proliferativa endocapillare,glomerulonefrite proliferativa mesangiale,glomerulonefrite proliferativa endo-extracapillare,glomerulonefrite proliferativa mesangiocapillare,E
4744,L'acolia delle feci si osserva in corso di:,,iperemolisi,oddite,pancreatite acuta,poliposi del colon,E
